abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,0,0,0,1,1,,3562,petrol,80,,,184 kW (250 hp),340,Audi V8,8,5,0,84.013,0,244,manual,2702 mm
1,1,1,1,1,1,,1368,petrol,35,,,132 kW (180 hp),250,Abarth 595 1.4 T-Jet 180 Competizione,4,4,1,34.030,0,225,semi-automaat,2300 mm
1,1,1,0,1,1,,3179,petrol,70,,,176 kW (240 hp),289,Alfa Romeo GTV 3.2 V6 24V,6,4,0,45.805,0,255,manual,2540 mm
1,1,1,1,1,1,,1368,petrol,35,,,121 kW (165 hp),230,Abarth 595 1.4 T-Jet 165 Turismo,4,4,1,30.330,0,218,semi-automaat,2300 mm
1,1,1,0,1,1,,3179,petrol,70,,,176 kW (240 hp),289,Alfa Romeo Spider 3.2 V6 24V,6,2,0,47.305,0,242,manual,2540 mm
1,1,1,1,1,1,,1368,petrol,35,,,132 kW (180 hp),250,Abarth 595 1.4 T-Jet 180 Competizione,4,4,1,32.330,0,225,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,121 kW (165 hp),230,Abarth 595 1.4 T-Jet 165 Turismo,4,4,1,28.630,0,218,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,107 kW (145 hp),206,Abarth 595 1.4 T-Jet 145,4,4,1,26.430,0,210,semi-automaat,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,107 kW (145 hp),206,Abarth 595 1.4 T-Jet 145,4,4,1,24.730,0,210,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,132 kW (180 hp),250,Abarth 595 Cabrio 1.4 T-Jet 180 Competizione,4,4,1,35.330,0,225,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,121 kW (165 hp),230,Abarth 595 Cabrio 1.4 T-Jet 165 Turismo,4,4,1,33.330,0,218,semi-automaat,2300 mm
1,1,1,0,1,1,,1970,petrol,70,,,121 kW (165 hp),206,Alfa Romeo Spider 2.0 JTS 16V,4,2,0,38.850,0,215,manual,2540 mm
