abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase 
yes,Jaguar,10.5,Sedan,92.5 mm.,4,NULL,NULL,Petrol (Gasoline),XE (X760),1745 kg.,11.29 m,XE,SV Project 8 5.0 V8 (600 Hp) AWD Automatic,8,8,4,93 mm.,V engine,600 hp/6500 rpm.,4/5,700 Nm/3500-5000 rpm.,2835 mm.
NULL,Jaguar,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),XJS Coupe,NULL,NULL,XJS,5.3 (289 Hp),NULL,NULL,NULL,NULL,NULL,289 hp,NULL,NULL,NULL
NULL,Jaguar,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),XJS Coupe,NULL,NULL,XJS,5.3 HE V12 (264 Hp),NULL,NULL,NULL,NULL,NULL,264 hp,NULL,NULL,NULL
NULL,Jaguar,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),XJS Coupe,NULL,NULL,XJS,5.3 HE V12 (295 Hp),NULL,NULL,NULL,NULL,NULL,295 hp,NULL,NULL,NULL
yes,Jaguar,11,Coupe,90 mm.,2,13 l/100 km.,89 l,Petrol (Gasoline),XJS Coupe,1825 kg.,NULL,XJS,6.0 (318 Hp),12,4,2,78.5 mm.,V engine,318 hp/5400 rpm.,2+2,463 Nm/3750 rpm.,2588 mm.
NULL,Jaguar,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),XJSc Convertible,NULL,NULL,XJSc Convertible,5.3 (287 Hp),NULL,NULL,NULL,NULL,NULL,287 hp,NULL,NULL,NULL
NULL,Jaguar,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),XJSc Convertible,NULL,NULL,XJSc Convertible,5.3 HE V12 (264 Hp),NULL,NULL,NULL,NULL,NULL,264 hp,NULL,NULL,NULL
NULL,Jaguar,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),XJSc Convertible,NULL,NULL,XJSc Convertible,5.3 HE V12 (295 Hp),NULL,NULL,NULL,NULL,NULL,295 hp,NULL,NULL,NULL
yes,Jaguar,11,Cabriolet,90 mm.,2,13 l/100 km.,89 l,Petrol (Gasoline),XJSc Convertible,1920 kg.,NULL,XJSc Convertible,6.0 (318 Hp),12,4,2,78.5 mm.,V engine,318 hp/5400 rpm.,2+2,463 Nm/3750 rpm.,2588 mm.
yes,Infiniti,11,Coupe,95.5 mm.,2,12 l/100 km.,76 l,Petrol (Gasoline),G37 Coupe,1774 kg.,NULL,G37,3.7I V6 (320 Hp) Automatic,6,5,4,86 mm.,V engine,320 hp/7000 rpm.,4,366 Nm/5200 rpm.,2850 mm.
yes,Infiniti,11,Coupe,95.5 mm.,2,12 l/100 km.,76 l,Petrol (Gasoline),G37 Coupe,1774 kg.,NULL,G37,3.7I V6 (320 Hp),6,6,4,86 mm.,V engine,320 hp/7000 rpm.,4,366 Nm/5200 rpm.,2850 mm.
yes,Infiniti,10.3,Coupe,86 mm.,2,NULL,76 l,Petrol (Gasoline),Q60 II Coupe,1752 kg.,11.2 m,Q60,S 3.0 V6 (405 Hp) Automatic,6,7,4,86 mm.,V engine,405 hp/6400 rpm.,4,475 Nm/1600-5200 rpm.,2850 mm.
yes,Infiniti,NULL,Cabriolet,NULL,2,11.4 l/100 km.,80 l,Petrol (Gasoline),G37 Convertible,1898 kg.,11 m,G37,3.7 V6 (320 Hp) Automatic,6,7,4,NULL,V engine,320 hp/7000 rpm.,4,360 Nm/5200 rpm.,2850 mm.
yes,Jaguar,NULL,SUV,NULL,5,NULL,NULL,Electricity,I-Pace EV400,2133 kg.,NULL,I-Pace,90 kWh (400 Hp) AWD Automatic,NULL,1,NULL,NULL,NULL,400 hp,5,696 Nm,2990 mm.
yes,Jaguar,9.1,Sedan,86 mm.,4,12.5 l/100 km.,68 l,Petrol (Gasoline),S-type (CCX),1800 kg.,NULL,S-type,4.2 i V8  32V Type R (395 Hp),8,6,4,90.3 mm.,V engine,395 hp/6100 rpm.,5,541 Nm/5500 rpm.,2909 mm.
yes,Jeep,9.1,Off-road vehicle,93 mm.,5,NULL,NULL,Petrol (Gasoline),Liberty II,NULL,NULL,Liberty,3.7 i V6 12V (213 Hp) Automatic,6,6,2,90.8 mm.,V engine,213 hp/5200 rpm.,5,318 Nm/4000 rpm.,2684 mm.
yes,Jeep,9.1,Off-road vehicle,93 mm.,5,NULL,NULL,Petrol (Gasoline),Liberty II,NULL,NULL,Liberty,3.7 i V6 12V (213 Hp),6,4,2,90.8 mm.,V engine,213 hp/5200 rpm.,5,318 Nm/4000 rpm.,2684 mm.
yes,Jaguar,15.5,SUV,83 mm.,5,5.6 l/100 km.,55.7 l,Diesel,E-Pace,2400 kg.,11.46 m,E-Pace,2.0d  (180 Hp) AWD Automatic,4,9,4,92.3 mm.,Inline,180 hp/4000 rpm.,5,430 Nm/1750 rpm.,2681 mm.
yes,Jeep,10,SUV,88 mm.,5,NULL,60 l,Petrol (Gasoline),"Cherokee V (KL, facelift 2018)",1658 kg.,11.5 m,Cherokee,2.4 (180 Hp) Automatic,4,9,4,97 mm.,Inline,180 hp/6400 rpm.,5,232 Nm/4600 rpm.,2705 mm.
yes,Jeep,10,SUV,88 mm.,5,NULL,60 l,Petrol (Gasoline),"Cherokee V (KL, facelift 2018)",1793-1827 kg.,11.5-11.6 m,Cherokee,2.4 (180 Hp) 4WD Automatic,4,9,4,97 mm.,Inline,180 hp/6400 rpm.,5,232 Nm/4600 rpm.,2708-2720 mm.
yes,Jeep,10.7,SUV,90.9 mm.,5,NULL,60 l,Petrol (Gasoline),"Cherokee V (KL, facelift 2018)",1835-1863 kg.,11.5-11.6 m,Cherokee,3.2 V6 (271 Hp) 4WD Automatic,6,9,4,83.1 mm.,V engine,271 hp/6500 rpm.,5,324 Nm/4400 rpm.,2708-2720 mm.
yes,Jeep,10.7,SUV,90.9 mm.,5,NULL,60 l,Petrol (Gasoline),"Cherokee V (KL, facelift 2018)",1714 kg.,11.5 m,Cherokee,3.2 V6 (271 Hp) Automatic,6,9,4,83.1 mm.,V engine,271 hp/6500 rpm.,5,324 Nm/4400 rpm.,2705 mm.
NULL,Jeep,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),CJ5 - CJ8,NULL,NULL,CJ5 - CJ8,2.5 (88 Hp),NULL,NULL,NULL,NULL,NULL,88 hp,NULL,NULL,NULL
NULL,Jeep,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),CJ5 - CJ8,NULL,NULL,CJ5 - CJ8,3.7 (150 Hp),NULL,NULL,NULL,NULL,NULL,150 hp,NULL,NULL,NULL
NULL,Jeep,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),CJ5 - CJ8,NULL,NULL,CJ5 - CJ8,3.8 (100 Hp),NULL,NULL,NULL,NULL,NULL,100 hp,NULL,NULL,NULL
NULL,Jeep,NULL,Off-road vehicle,NULL,NULL,NULL,NULL,Petrol (Gasoline),CJ5 - CJ8,NULL,NULL,CJ5 - CJ8,4.2 (103 Hp),NULL,NULL,NULL,NULL,NULL,103 hp,NULL,NULL,NULL
NULL,Jeep,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),CJ5 - CJ8,NULL,NULL,CJ5 - CJ8,5.0 (121 Hp),NULL,NULL,NULL,NULL,NULL,121 hp,NULL,NULL,NULL
yes,Jeep,11.3,Off-road vehicle,96 mm.,4,NULL,83 l,Petrol (Gasoline),Gladiator (JT),2109-2291 kg.,NULL,Gladiator,3.6 Pentastar V6 (285 Hp) 4x4,6,6,4,83 mm.,V engine,285 hp/6400 rpm.,5,353 Nm/4400 rpm.,3487 mm.
yes,Jeep,11.3,Off-road vehicle,96 mm.,4,NULL,83 l,Petrol (Gasoline),Gladiator (JT),2119-2301 kg.,NULL,Gladiator,3.6 Pentastar V6 (285 Hp) 4x4 Automatic,6,8,4,83 mm.,V engine,285 hp/6400 rpm.,5,353 Nm/4400 rpm.,3487 mm.
yes,Jeep,10,SUV,87.88 mm.,5,11.8 l/100 km.,48 l,Petrol (Gasoline),Renegade (facelift 2019),1509 kg.,11.07 m,Renegade,2.4 MultiAir2 TIGERSHARK (182 Hp) 4x4 Automatic,4,9,4,97.02 mm.,Inline,182 hp/6400 rpm.,5,237 Nm/3900 rpm.,2570 mm.
yes,Jeep,10,SUV,87.88 mm.,5,11.3 l/100 km.,48 l,Petrol (Gasoline),Renegade (facelift 2019),1436 kg.,11.07 m,Renegade,2.4 MultiAir2 TIGERSHARK (182 Hp) Automatic,4,9,4,97.02 mm.,Inline,182 hp/6400 rpm.,5,237 Nm/3900 rpm.,2570 mm.
yes,Jeep,9.1,Off-road vehicle,93 mm.,5,NULL,NULL,Petrol (Gasoline),Liberty II,NULL,NULL,Liberty,3.7 i V6 12V 4WD (213 Hp),6,4,2,90.8 mm.,V engine,213 hp/5200 rpm.,5,318 Nm/4000 rpm.,2684 mm.
NULL,Jaguar,NULL,Coupe,NULL,2,NULL,NULL,Petrol (Gasoline),E-Type,NULL,NULL,E-type,4.2 (Series2) (269 Hp),NULL,NULL,NULL,NULL,NULL,269 hp,2,NULL,NULL
NULL,Jaguar,NULL,Coupe,NULL,2,NULL,NULL,Petrol (Gasoline),E-type 2+2,NULL,NULL,E-type,V12 5.3 (Series3) (276 Hp),NULL,NULL,NULL,NULL,NULL,276 hp,2+2,NULL,NULL
NULL,Jaguar,NULL,Coupe,NULL,2,NULL,NULL,Petrol (Gasoline),E-Type,NULL,NULL,E-type,3.8 (Series1) (265 Hp),NULL,NULL,NULL,NULL,NULL,265 hp,2,NULL,NULL
NULL,Jaguar,NULL,Coupe,NULL,2,NULL,NULL,Petrol (Gasoline),E-Type,NULL,NULL,E-type,4.2 (Series3) (173 Hp),NULL,NULL,NULL,NULL,NULL,173 hp,2,NULL,NULL
NULL,Jaguar,NULL,Coupe,NULL,2,NULL,NULL,Petrol (Gasoline),E-Type,NULL,NULL,E-type,4.2 (Series 1) (265 Hp),NULL,NULL,NULL,NULL,NULL,265 hp,2,NULL,NULL
yes,Jaguar,15.34,SUV,83 mm.,5,6.2 l/100 km.,55.7 l,Diesel,E-Pace,2420 kg.,11.46 m,E-Pace,2.0d  (240 Hp) AWD Automatic,4,9,4,92.3 mm.,Inline,240 hp/4000 rpm.,5,500 Nm/1500 rpm.,2681 mm.
yes,Jeep,9.1,Off-road vehicle,93 mm.,5,NULL,NULL,Petrol (Gasoline),Liberty II,NULL,NULL,Liberty,3.7 i V6 12V 4WD (213 Hp) Automatic,6,6,2,90.8 mm.,V engine,213 hp/5200 rpm.,5,318 Nm/4000 rpm.,2684 mm.
yes,Jeep,9.1,Off-road vehicle,93 mm.,5,NULL,NULL,Petrol (Gasoline),Liberty II Sport,NULL,NULL,Liberty,3.7 i V6 12V 4WD (210 Hp),6,6,2,90.8 mm.,V engine,210 hp/5200 rpm.,5,307 Nm/4000 rpm.,NULL
yes,Jaguar,10.5,SUV,83 mm.,5,8.2 l/100 km.,68.5 l,Petrol (Gasoline),E-Pace,75 kg.,NULL,E-Pace,2.0p (200 Hp) AWD Automatic,4,9,4,92.3 mm.,Inline,200 hp/5500 rpm.,5,340 Nm/1250 rpm.,2681 mm.
yes,Jaguar,10.5,SUV,83 mm.,5,7.7 l/100 km.,68.5 l,Petrol (Gasoline),E-Pace,2400 kg.,11.46 m,E-Pace,2.0p (250 Hp) AWD Automatic,4,9,4,92.3 mm.,Inline,250 hp/5500 rpm.,5,365 Nm/1200-4500 rpm.,2681 mm.
yes,Jaguar,10.5,SUV,83 mm.,5,8.0 l/100 km.,68.5 l,Petrol (Gasoline),E-Pace,2400 kg.,11.46 m,E-Pace,3.0p (300 Hp) AWD Automatic,4,9,4,92.3 mm.,Inline,300 hp/5500 rpm.,5,400 Nm/1500-4500 rpm.,2681 mm.
NULL,Alfa Romeo,NULL,Hatchback,NULL,3/5,NULL,NULL,Petrol (Gasoline),Arna (920),NULL,NULL,Arna,1.2 (63 Hp),NULL,NULL,NULL,NULL,NULL,63 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),Alfetta (116),NULL,NULL,Alfetta,1.8 (116.B2) (122 Hp),NULL,NULL,NULL,NULL,NULL,122 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Coupe,NULL,3,NULL,NULL,Petrol (Gasoline),Alfasud Sprint (902.A),NULL,NULL,Alfasud,1.5 (902.A1) (83 Hp),NULL,NULL,NULL,NULL,NULL,83 hp,4,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),90 (162),NULL,NULL,90,1.8 (162.A1A) (116 Hp),NULL,NULL,NULL,NULL,NULL,116 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),90 (162),NULL,NULL,90,"2.0 i.e. (162.A2A,162.A2E) (128 Hp)",NULL,NULL,NULL,NULL,NULL,128 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),90 (162),NULL,NULL,90,2.0 i.e. (132 Hp),NULL,NULL,NULL,NULL,NULL,132 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Hatchback,NULL,5,NULL,NULL,Petrol (Gasoline),33 (907A),NULL,NULL,33,1.7 i.e. (907.A1A) (105 Hp),NULL,NULL,NULL,NULL,NULL,105 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),90 (162),NULL,NULL,90,2.4 TD (162.B5) (110 Hp),NULL,NULL,NULL,NULL,NULL,110 hp,5,NULL,NULL
yes,Alfa Romeo,NULL,Hatchback,NULL,5,NULL,NULL,Diesel,146 (930),NULL,NULL,146,1.9 JTD (105 Hp),4,NULL,NULL,NULL,Inline,105 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),155 (167),NULL,NULL,155,2.0 T.S. (167.A2) (143 Hp),NULL,NULL,NULL,NULL,NULL,143 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),1750-2000,NULL,NULL,1750-2000,"1750 (105,48) (113 Hp)",NULL,NULL,NULL,NULL,NULL,113 hp,NULL,NULL,NULL
NULL,Alfa Romeo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),1750-2000,NULL,NULL,1750-2000,2000 (105) (132 Hp),NULL,NULL,NULL,NULL,NULL,132 hp,NULL,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),6 (119),NULL,NULL,6,2.0 (135 Hp),NULL,NULL,NULL,NULL,NULL,135 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),6 (119),NULL,NULL,6,"2.5 i.e. (119.AA,119.AB) (150 Hp)",NULL,NULL,NULL,NULL,NULL,150 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),6 (119),NULL,NULL,6,2.5 i.e. (158 Hp),NULL,NULL,NULL,NULL,NULL,158 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),6 (119),NULL,NULL,6,2.5 TD (105 Hp),NULL,NULL,NULL,NULL,NULL,105 hp,5,NULL,NULL
yes,Alfa Romeo,9.25,Coupe,83 mm.,2,NULL,40 l,Petrol (Gasoline),4C  (facelift 2017),1118 kg.,12.10 m,4C,1.7 (241 Hp),4,6,4,80.5 mm.,Inline,241 hp/6000 rpm.,2,350 Nm/2200-4250 rpm.,2380 mm.
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),90 (162),NULL,NULL,90,"2.5 i.e. V6 (162.A,162.AA) (150 Hp)",NULL,NULL,NULL,NULL,NULL,150 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Coupe,NULL,3,NULL,NULL,Petrol (Gasoline),Alfasud Sprint (902.A),NULL,NULL,Alfasud,1.5 (902.A5) (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,4,NULL,NULL
NULL,Alfa Romeo,NULL,Coupe,NULL,3,NULL,NULL,Petrol (Gasoline),Alfasud Sprint (902.A),NULL,NULL,Alfasud,1.5 Veloce (102 Hp),NULL,NULL,NULL,NULL,NULL,102 hp,4,NULL,NULL
NULL,Alfa Romeo,NULL,Coupe,NULL,3,NULL,NULL,Petrol (Gasoline),Alfasud Sprint (902.A),NULL,NULL,Alfasud,1.7 (118 Hp),NULL,NULL,NULL,NULL,NULL,118 hp,4,NULL,NULL
NULL,Alfa Romeo,NULL,Coupe,NULL,3,NULL,NULL,Petrol (Gasoline),Alfasud Sprint (902.A),NULL,NULL,Alfasud,1.7 i.e. (105 Hp),NULL,NULL,NULL,NULL,NULL,105 hp,4,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),Alfetta (116),NULL,NULL,Alfetta,"2.0 (116.55G,116.56G) (121 Hp)",NULL,NULL,NULL,NULL,NULL,121 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),Alfetta (116),NULL,NULL,Alfetta,"2.0 (116.55F,116.56F,116.55N,1 (131 Hp)",NULL,NULL,NULL,NULL,NULL,131 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),Alfetta (116),NULL,NULL,Alfetta,2.0 TD (116.BA) (82 Hp),NULL,NULL,NULL,NULL,NULL,82 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),Alfetta (116),NULL,NULL,Alfetta,2.4 TD (116.B3) (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Hatchback,NULL,3/5,NULL,NULL,Petrol (Gasoline),Arna (920),NULL,NULL,Arna,1.2 (920.AA) (60 Hp),NULL,NULL,NULL,NULL,NULL,60 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Hatchback,NULL,3/5,NULL,NULL,Petrol (Gasoline),Arna (920),NULL,NULL,Arna,"1.2 (920.AB,920.AC) (68 Hp)",NULL,NULL,NULL,NULL,NULL,68 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Hatchback,NULL,3/5,NULL,NULL,Petrol (Gasoline),Arna (920),NULL,NULL,Arna,1.3 TI (920.A1B) (86 Hp),NULL,NULL,NULL,NULL,NULL,86 hp,5,NULL,NULL
NULL,Alfa Romeo,NULL,Hatchback,NULL,3/5,NULL,NULL,Petrol (Gasoline),Arna (920),NULL,NULL,Arna,1.5 (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,5,NULL,NULL
NULL,Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),181,NULL,NULL,181,1.5 (44 Hp),NULL,NULL,NULL,NULL,NULL,44 hp,NULL,NULL,NULL
NULL,Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),181,NULL,NULL,181,1.6 (44 Hp),NULL,NULL,NULL,NULL,NULL,44 hp,NULL,NULL,NULL
NULL,Volkswagen,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),181,NULL,NULL,181,1.6 (48 Hp),NULL,NULL,NULL,NULL,NULL,48 hp,NULL,NULL,NULL
yes,Porsche,NULL,SUV,82.5 mm.,5,NULL,65 l,Petrol (Gasoline),Macan (facelift 2018),1795 kg.,NULL,Macan,2.0 (252 Hp) 4x4 PDK,4,7 PDK,4,92.8 mm.,Inline,252 hp/5000-6800 rpm.,5,370 Nm/1600-4500 rpm.,2807 mm.
NULL,Opel,8.6,Combi,80 mm.,3,NULL,NULL,Petrol (Gasoline),Kadett E Combo,NULL,NULL,Kadett,1.6i (75 Hp),4,5,2,79.5 mm.,Inline,75 hp/5200 rpm.,2,121 Nm/3400 rpm.,NULL
NULL,Opel,10,Combi,80 mm.,3,NULL,NULL,Petrol (Gasoline),Kadett E Combo,NULL,NULL,Kadett,1.6 (82 Hp),4,5,2,79.5 mm.,Inline,82 hp/5400 rpm.,2,130 Nm/2600 rpm.,NULL
NULL,Opel,23,Combi,80 mm.,3,NULL,NULL,Diesel,Kadett E Combo,NULL,NULL,Kadett,1.6 D (54 Hp),4,5,2,79.5 mm.,Inline,54 hp/4600 rpm.,2,96 Nm/2400 rpm.,NULL
NULL,Opel,23,Combi,82.5 mm.,3,NULL,NULL,Diesel,Kadett E Combo,NULL,NULL,Kadett,1.7 D (57 Hp),4,5,2,79.5 mm.,Inline,57 hp/4600 rpm.,2,105 Nm/2400-2600 rpm.,NULL
NULL,Opel,NULL,Combi,NULL,3,NULL,NULL,Diesel,Kadett E Combo,NULL,NULL,Kadett,1.7 TD (82 Hp),NULL,5,NULL,NULL,NULL,82 hp,2,NULL,NULL
yes,Seat,NULL,Hatchback,NULL,5,4.3 - 4.4 l/100 km.,55 l,Diesel,Toledo  IV (NH),1740 kg.,NULL,Toledo,1.6 TDI (115 Hp),4,5,4,NULL,Inline,115 hp/3500-4000 rpm.,5,250 Nm/1500-3000 rpm.,2602 mm.
NULL,Smart,NULL,Cabriolet,NULL,2,NULL,NULL,Electricity,Fortwo III cabrio,920 kg.,8.75 m,Fortwo,17.6 kWh (75 Hp) electric drive,NULL,1,NULL,NULL,NULL,75 hp,2,130 Nm,1867 mm.
yes,Smart,NULL,Cabriolet,NULL,3,NULL,NULL,Electricity,Fortwo III cabrio,1015 kg.,6.95 m,Fortwo,17.6 kWh (82 Hp) electric drive,NULL,1,NULL,NULL,NULL,82 hp,2,160 Nm,1872 mm.
NULL,Smart,NULL,Cabriolet,NULL,2,NULL,NULL,Electricity,Fortwo III cabrio,945 kg.,8.75 m,Fortwo,Brabus 17.6 kWh (82 Hp) electric drive,NULL,1,NULL,NULL,NULL,82 hp,2,135 Nm,1867 mm.
yes,Volkswagen,NULL,Sedan,NULL,4,5.6 l/100 km.,50 l,Petrol (Gasoline),Lamando,1340 kg.,NULL,Lamando,280TSI (150 Hp),4,5,4,NULL,Inline,150 hp/5000 rpm.,5,250 Nm/1750-3000 rpm.,2656 mm.
yes,Volkswagen,NULL,Sedan,NULL,4,5.5 l/100 km.,50 l,Petrol (Gasoline),Lamando,1365 kg.,NULL,Lamando,280TSI (150 Hp) DSG,4,7 DSG,4,NULL,Inline,150 hp/5000 rpm.,5,250 Nm/1750-3000 rpm.,2656 mm.
NULL,Smart,9,Cabriolet,66.5 mm.,2,NULL,NULL,Petrol (Gasoline),Roadster cabrio,NULL,NULL,Roadster,0.7i (101 hp),3,6,2,67 mm.,Inline,101 hp/5250 rpm.,2,130 Nm/2250 rpm.,2360 mm.
NULL,Opel,10.5,Sedan,101.6 mm.,4,NULL,80 l,Petrol (Gasoline),Diplomat B,1690 kg.,11.8 m,Diplomat,5.3 V8 (230 Hp) Automatic,8,3,2,82.55 mm.,V engine,230 hp/4700 rpm.,5,427 Nm/3000-3200 rpm.,2850 mm.
NULL,Opel,9.5,Sedan,92 mm.,4,NULL,80 l,Petrol (Gasoline),Diplomat B,1530 kg.,11.8 m,Diplomat,2.8 E (165 Hp),6,4,2,69.8 mm.,Inline,165 hp/5600 rpm.,5,229 Nm/4100-4600 rpm.,2850 mm.
NULL,Opel,NULL,Pick-up,93 mm.,4,8.1 l/100 km.,NULL,Diesel,Campo Double Cab,NULL,NULL,Campo,2.5 DTI (100 Hp),4,5,NULL,92 mm.,Inline,100 hp/3800 rpm.,5,226 Nm/2000 rpm.,3025 mm.
NULL,Opel,NULL,Pick-up,93 mm.,4,8.2 l/100 km.,NULL,Diesel,Campo Double Cab,NULL,NULL,Campo,2.5 TD (76 Hp),4,5,NULL,92 mm.,Inline,76 hp/3800 rpm.,5,160 Nm/2000 rpm.,3025 mm.
NULL,Opel,9.2,Sedan,84.8 mm.,4,NULL,61 l,Petrol (Gasoline),Ascona C,1010 kg.,10.95 m,Ascona,1.8i (115 Hp),4,5,2,79.5 mm.,Inline,115 hp/5800 rpm.,5,151 Nm/4800 rpm.,2574 mm.
NULL,Opel,9,Sedan,95 mm.,4,NULL,61 l,Petrol (Gasoline),Ascona C,NULL,10.95 m,Ascona,2.0i (100 Hp),4,5,NULL,69.8 mm.,Inline,100 hp/5400 rpm.,5,170 Nm/3000 rpm.,2574 mm.
NULL,Opel,9.2,Sedan,86 mm.,4,NULL,61 l,Petrol (Gasoline),Ascona C,1049 kg.,10.95 m,Ascona,2.0i (115 Hp),4,5,2,86 mm.,Inline,115 hp,5,175 Nm/3000 rpm.,2574 mm.
yes,Peugeot,NULL,Combi,NULL,5,3.8-4.0 l/100 km.,52.5 l,Diesel,308 SW II (facelift 2017),1910 kg.,10.4 m,308,1.6 BlueHDi (120 Hp) Automatic,4,6,4,NULL,Inline,120 hp/3500 rpm.,5,300 Nm/1750 rpm.,2730 mm.
yes,Opel,9.6,SUV,NULL,5,NULL,65 l,Diesel,Antara (facelift 2010),1967 kg.,12.8 m,Antara,2.2 CDTI (184 Hp) FWD Automatic,4,6,4,NULL,Inline,184 hp,5,NULL,2707 mm.
yes,Opel,10.5,Hatchback,73.4 mm.,3,5.1 l/100 km.,38 l,Petrol (Gasoline),Adam,1480 kg.,10.17-11.06 m,Adam,Rocks 1.4 ECOFLEX (100 Hp),4,5,NULL,82.6 mm.,Inline,100 hp/6000 rpm.,4,130 Nm/4000 rpm.,2311 mm.
yes,Peugeot,NULL,Off-road vehicle,NULL,5,9.5 l/100 km.,60 l,Petrol (Gasoline),4007,1790 kg.,12 m,4007,2.4 l 16V (170Hp),4,6,4,NULL,Inline,170 hp,5,232 Nm,2670 mm.
yes,Opel,10.5,Hatchback,73.4 mm.,3,5.4 l/100 km.,38 l,Petrol (Gasoline),Adam,1480 kg.,10.17-11.06 m,Adam,Rocks 1.4 (100 Hp),4,5,NULL,82.6 mm.,Inline,100 hp/6000 rpm.,4,130 Nm/4000 rpm.,2311 mm.
NULL,Opel,9.5,Sedan,92 mm.,4,NULL,80 l,Petrol (Gasoline),Admiral B,1495 kg.,11.8 m,Admiral,2.8 (146 Hp),6,4,NULL,69.8 mm.,Inline,146 hp,5,223 Nm/3600-3800 rpm.,2845 mm.
NULL,Opel,9,Sedan,92 mm.,4,NULL,80 l,Petrol (Gasoline),Admiral B,1530 kg.,11.8 m,Admiral,2.8 E (160 Hp) Automatic,6,3,NULL,69.8 mm.,Inline,160 hp/5600 rpm.,5,225 Nm/3000-3200 rpm.,2845 mm.
NULL,Opel,9.5,Sedan,92 mm.,4,NULL,NULL,Petrol (Gasoline),Admiral B,1530 kg.,11.8 m,Admiral,2.8 E (165 Hp) Automatic,6,3,NULL,69.8 mm.,Inline,165 hp,5,229 Nm/4100-4600 rpm.,2845 mm.
NULL,Opel,9,Sedan,92 mm.,4,NULL,80 l,Petrol (Gasoline),Admiral B,1475 kg.,11.8 m,Admiral,2.8 S (129 Hp),6,4,NULL,69.8 mm.,Inline,129 hp/5000 rpm.,5,204 Nm/3800 rpm.,2845 mm.
