abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase
yes,Hyundai,11,Combi,77 mm.,5,6.7 l/100 km.,70 l,Petrol (Gasoline),i40 Combi (facelift 2018),2030 kg.,10.9 m,i40,1.6 GDI (135 Hp),4,6,4,85.4 mm.,Inline,135 hp/6300 rpm.,5,164 Nm/4850 rpm.,2770 mm.
yes,Infiniti,NULL,"Hatchback, Crossover",NULL,5,5.7-6.0 l/100 km.,50 l,Petrol (Gasoline),Q30,1920 kg.,11.4 m,Q30,1.6 (122 Hp),4,6,NULL,NULL,Inline,122 hp/5000 rpm.,5,200 Nm/1250-4000 rpm.,2700 mm.
yes,Infiniti,NULL,"Hatchback, Crossover",NULL,5,4.2-4.4 l/100 km.,50 l,Diesel,Q30,2020 kg.,11.4 m,Q30,2.2 CDI (170 Hp) DCT,4,7 DCT,NULL,NULL,Inline,170 hp/3400-4000 rpm.,5,350 Nm/1400-3400 rpm.,2700 mm.
yes,Volvo,NULL,Coupe,NULL,3,5.8 l/100 km.,60 l,Diesel,C30 (facelift 2009),1450 kg.,11.1 m,C30,2.0 D3 (150 Hp) Automatic,5,6,NULL,81 mm.,Inline,150 hp/3500 rpm.,5,350 Nm/1500-2750 rpm.,2640 mm.
yes,Volvo,NULL,Coupe,NULL,3,4.3 l/100 km.,52 l,Diesel,C30 (facelift 2009),1331 kg.,11.1 m,C30,1.6 D2 (114 Hp),4,6,NULL,75 mm.,Inline,114 hp/3600 rpm.,5,270 Nm/1750-2500 rpm.,2640 mm.
yes,Volvo,NULL,Coupe,NULL,3,5.1 l/100 km.,60 l,Diesel,C30 (facelift 2009),1450 kg.,11.1 m,C30,2.0 D3 (150 Hp),5,6,NULL,81 mm.,Inline,150 hp/3500 rpm.,5,350 Nm/1500-2750 rpm.,2640 mm.
yes,Volvo,NULL,Coupe,NULL,3,5.1 l/100 km.,60 l,Diesel,C30 (facelift 2009),1451 kg.,11.1 m,C30,2.0 D4 (177 Hp),5,6,NULL,81 mm.,Inline,177 hp/3500 rpm.,5,400 Nm/1750-2750 rpm.,2640 mm.
yes,Volvo,NULL,Coupe - Cabriolet,NULL,2,9.4 l/100 km.,62 l,Petrol (Gasoline),C70 Coupe Cabrio II,1717 kg.,11.95 m,C70,2.6 T5 (230 Hp) Automatic,5,5,NULL,83 mm.,Inline,230 hp/5000 rpm.,4,320 Nm/1500-5000 rpm.,2640 mm.
yes,Volvo,NULL,Coupe,NULL,3,5.8 l/100 km.,60 l,Diesel,C30 (facelift 2009),1451 kg.,11.1 m,C30,2.0 D4 (177 Hp) Automatic,5,6,NULL,81 mm.,Inline,177 hp/3500 rpm.,5,400 Nm/1750-2750 rpm.,2640 mm.
yes,Volvo,NULL,Coupe - Cabriolet,NULL,2,6.4 l/100 km.,60 l,Diesel,C70 Coupe Cabrio II,1740 kg.,11.95 m,C70,2.O D3 (150 Hp),5,6,NULL,81 mm.,Inline,150 hp/3500 rpm.,4,350 Nm/1500-2750 rpm.,2640 mm.
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),66 Combi,NULL,NULL,66,DL 1.1 (45 Hp),NULL,NULL,NULL,NULL,NULL,45 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),66 Combi,NULL,NULL,66,GL 1.3 (57 Hp),NULL,NULL,NULL,NULL,NULL,57 hp,NULL,NULL,NULL
